category,rating,label,text_,prediction,correct,word_count,length_group
Tools_and_Home_Improvement_5,3.0,OR,"Eh, it's just okay. Sometimes it punches, and sometimes it doesn't. Very finicky. I'd recommend just using a manual center punch and a hammer until you're ready to spend money on something from Starrett or another brand like that.",CG,False,39,Short (26-50)
Kindle_Store_5,4.0,CG,"Julie Smith's voice is magnetic, just wish this tale lasted longer.",OR,False,11,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,4.0,CG,"My daughter usually wears Vans without issue, but these gave her nasty blisters on her heels the first few wears. We solved it with thicker socks and a bit of breaking in. Now she's fine and loves the style. I'd recommend them to anyone willing to deal with a short break-in period, just don't expect instant out-of-the-box comfort.",OR,False,58,Medium (51-100)
Pet_Supplies_5,5.0,OR,"I have an extremely heavy chewer that destroys any toy quickly. He's making a small dent in it but overall lasting leaps and bounds longer than any other...and he loves it and he has perfectly white teeth!!!! He hated nylabones and others like it. Warning: After a few minutes of chewing, it gets tiny sharp edges all over that hurts to step on. Also, don't let it drop on your foot. It feels like concrete.",CG,False,75,Medium (51-100)
Home_and_Kitchen_5,5.0,OR,"Super sturdy and heavy, the exact dimensions I needed for a bedside table. The 3 drawers open and close effortlessly and hold a considerable amount. The pull out tray slides easily and is perfect for holding the occasional drink.",CG,False,39,Short (26-50)
Clothing_Shoes_and_Jewelry_5,5.0,OR,Been wearing 501s since the late 1970s - can't beat them!,CG,False,11,Very Short (1-25)
Toys_and_Games_5,1.0,CG,Only recommend if you hate fun and enjoy disappointment.,OR,False,9,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,4.0,CG,Great gift for anyone who loves elegant accessories. My sister hasn't taken it off since her birthday.,OR,False,17,Very Short (1-25)
Home_and_Kitchen_5,5.0,OR,"This item's bulky for a small apartment counter top, but works like a charm!",CG,False,14,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,5.0,OR,had to hem the cuffs was 1 in to long,CG,False,10,Very Short (1-25)
Electronics_5,2.0,CG,"The voice activation mode is way too sensitive, it never stops transmitting static.",OR,False,13,Very Short (1-25)
Kindle_Store_5,5.0,OR,Great start! A much more believable stat to the life style then some of the stories I've read. Pulled me into the story right away and can't wait to see where they go from here.,CG,False,35,Short (26-50)
Tools_and_Home_Improvement_5,5.0,OR,PERFECT as an EDC light! Been looking for something that fits in the palm of my hand and is bright! Worth every penny!,CG,False,23,Very Short (1-25)
Pet_Supplies_5,5.0,OR,Scarlet macaw enjoyed chewing it up and was happy for a little while. It did what it needed to do-kept him busy for a while and chewing on something he SHOULD......,CG,False,31,Short (26-50)
Movies_and_TV_5,5.0,CG,Everything about this purchase was smooth and the movie itself is perfect.,OR,False,12,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,5.0,OR,"Comfortable, have worn for a couple of weeks now. Perfect minimalost shoes. No extra weight, no extra sidewall, durable but thin sole. I am a fan",CG,False,26,Short (26-50)
Tools_and_Home_Improvement_5,2.0,CG,"These aren't standard hardware store sizes, every washer in the box is micro. I tried using a few for a small project and they bent almost immediately. The count is accurate, but unless you're working on eyeglasses or electronics, this set just doesn't hold up.",OR,False,45,Short (26-50)
Pet_Supplies_5,2.0,CG,"The squeaker stopped working after two days, but at least my dog still likes carrying it around.",OR,False,17,Very Short (1-25)
Sports_and_Outdoors_5,4.0,CG,"Works well enough for what I need, just took a few rides to get the balance dialed in properly.",OR,False,19,Very Short (1-25)
Electronics_5,4.0,OR,"There is very noticeable distortion (especially with straight horizons) at the wide end. The lens is acceptably sharp at wide aperture, and very sharp from F5.6.",CG,False,26,Short (26-50)
Books_5,4.0,CG,"I bought this as a gift for my uncle, who's been into stereoscopic photography since the 1960s, and he absolutely loved it. The images capture these wonderfully ordinary, almost forgotten moments that feel intimate rather than staged. For me, someone who didn't grow up with this format, the 3-D effect took a little practice to fully appreciate, but once your eyes adjust, it's surprisingly immersive. I'd recommend this to anyone with an interest in mid-century Americana or vintage photography, and especially to older relatives who might actually remember those living rooms and backyards. It's a niche book, but if that's your niche, it really delivers.",OR,False,105,Long (101+)
Clothing_Shoes_and_Jewelry_5,4.0,CG,"Love the soft faux leather, but the strap is a bit short for crossbody wear.",OR,False,15,Very Short (1-25)
Tools_and_Home_Improvement_5,5.0,CG,"Needed a longer cord for my wall-mounted Samsung and this one fit perfectly, no signal loss at all.",OR,False,18,Very Short (1-25)
Movies_and_TV_5,5.0,OR,Please do not pass this one up; worth the watch.,CG,False,10,Very Short (1-25)
Pet_Supplies_5,1.0,OR,"Flimsy, thin, cheap looking and feeling, bad chemical laden smell prior to washing before I would put it anywhere near my dog. I am discarding it. Waste of money.",CG,False,29,Short (26-50)
Electronics_5,1.0,OR,it works like a champ. i love it. thinking about getting a third,CG,False,13,Very Short (1-25)
