category,rating,label,text_
Pet_Supplies_5,3.0,CG,"Maybe okay for a calm small dog, but not for my stubborn beagle."
Pet_Supplies_5,5.0,CG,"Order arrived fast and in perfect condition, no cracks or scuffs. The metal holder feels super sturdy, and the bowl snaps in tight. Took seconds to attach to the crate, and my pup took to it immediately. Really impressed with how clean and simple the setup is right out of the box."
Movies_and_TV_5,5.0,CG,Went in with sky-high hopes and it still blew me away.
Clothing_Shoes_and_Jewelry_5,3.0,CG,"These pants fit my tall, lanky frame better than most off-the-rack options, so I'll give them that. But the fabric is weirdly stiff and scratchy, feels nothing like the soft dress pant I expected from the photos. They look okay standing still, but moving around is uncomfortable. I'm keeping them because the length is rare, but I'm disappointed overall."
Clothing_Shoes_and_Jewelry_5,5.0,CG,"I've had these for a few months now and honestly didn't expect them to hold up this well. I've worn them on pavement, gravel, even through airport security a handful of times, and they still look almost new. The sole shows very little wear, no peeling or cracking at all. I was skeptical about the folding part at first, but it hasn't caused any creasing or weak spots even after being stuffed in my beach bag repeatedly. The straps haven't stretched out either, which is usually my biggest gripe with sandals. I've gotten caught in light rain with them and they dried fast with no water stains. They've become my go-to for quick errands and travel days. Solid little sandals that really last."
Pet_Supplies_5,5.0,OR,"Absolutely amazing product. A little tricky learning to put on at first but the instructions are extremely helpful. Dog fought it a lil but after two minutes was walking great, acclimated to eat very quickly. 8 month dog used to pull and make walks miserable, its actually unbelievable how well this product works. Thank you, thank you, thank you!!!!"
Home_and_Kitchen_5,4.0,OR,"They are great but I have some problems with them. I have a very heavy head and they are flat as a pancakes, but Ill put up another review later. To tell you what I think. This is only a few weeks now."
Tools_and_Home_Improvement_5,5.0,OR,Fills out my auto supply drawer in my tool cart.
Clothing_Shoes_and_Jewelry_5,5.0,OR,I love these shoes... I love it the way they conform to your feet... to be a custom fit! Great shoes! Very reasonable shipping too!
Tools_and_Home_Improvement_5,2.0,OR,"only works with certain fan types, created a hum on my fan"
Toys_and_Games_5,5.0,CG,Got this for my Kirby-obsessed niece and it's become her bedtime buddy. I'd recommend it to any young gamer who loves cuddly plushes.
Pet_Supplies_5,2.0,OR,"I use this with the larger size bowl, but the smaller one makes a nice extra cup for my purse or glove department. With the bottle, it does bounce on my leg while walking, but not enough that I notice it. It's really nice to use on a walk. 06/15/15 I'm changing my rating from five stars to three because the water bottle now falls out of the loop. I guess I've used it enough that the hole has stretched and it bounces enough that the water bottle works its way out of the holder and falls. I've tried just taking a half full bottle, and it still falls out. This started out really nice, but now won't work for me. Maybe if attached to something that doesn't bounce as much, such as a knapsack, it would still work fine. But I only use a fanny pack when walking my dog, so it's attached to that."
Books_5,5.0,OR,"I am in love with these people. I can not say enough about how awesome this book series is- YES BETTER THAN 50 SHADES OF GREY. So much more to the story than 50 but I love it too, but Sylvia Day you have got me on the hook for this story. Yes, Gideon is mercurial and hot and cold but there is more to Eva than other female characters that I have see in other books. And the way this ends on a cliff hanger- OH I CAN NOT WAIT FOR ENTWINED WITH YOU!!!!"
Pet_Supplies_5,1.0,OR,"Did not work, ultimately found its way to the garage. Pieces seem to be made cheaply and did not fit on any of my filters."
Clothing_Shoes_and_Jewelry_5,4.0,OR,"I previously bought the size 36, and they were too large. These do tend to size on the large size, so go one size smaller. The 34 fit me perfectly. Soft cotton. I like them. Not as solid as other brands, but still, a good fit and look."
Sports_and_Outdoors_5,4.0,OR,"I received these in and decided to go ahead and test these for strength and if it will be a good workout. I love the medium to the very strongest. The lighter exercise band when stretched rolled up a few times on me and I would have to unroll and start again. I guess because I was pulling it out so hard. The others did fine. I could feel the tightness with those as I stretched it out. I may lay flat and try it on my ankles and legs next. I left out of town so I have not been able to test it that way. But I assure you, you will feel it in your arms. I would consider buying these for my neighbor who also wants to work her arm muscles, because I do not want to loan mine out, as I will continue to use the tighter bands."
